,Entity,Year,Annual CO₂ emissions,Share of global cumulative CO₂ emissions,Annual per capita CO2 emissions,Population (historical estimates),GDP,Country Size
0,Afghanistan,1870,0,,0,4101170,,"652,230"
1,Afghanistan,1871,0,,0,4119504,,"652,230"
2,Afghanistan,1872,0,,0,4137920,,"652,230"
3,Afghanistan,1873,0,,0,4156416,,"652,230"
4,Afghanistan,1874,0,,0,4174988,,"652,230"
5,Afghanistan,1875,0,,0,4193635,,"652,230"
6,Afghanistan,1876,0,,0,4212359,,"652,230"
7,Afghanistan,1877,0,,0,4231159,,"652,230"
8,Afghanistan,1878,0,,0,4250036,,"652,230"
9,Afghanistan,1879,0,,0,4268990,,"652,230"
10,Afghanistan,1880,0,,0,4288021,,"652,230"
11,Afghanistan,1881,0,,0,4307129,,"652,230"
12,Afghanistan,1882,0,,0,4326316,,"652,230"
13,Afghanistan,1883,0,,0,4345580,,"652,230"
14,Afghanistan,1884,0,,0,4364922,,"652,230"
15,Afghanistan,1885,0,,0,4384343,,"652,230"
16,Afghanistan,1886,0,,0,4403843,,"652,230"
17,Afghanistan,1887,0,,0,4423422,,"652,230"
18,Afghanistan,1888,0,,0,4443080,,"652,230"
19,Afghanistan,1889,0,,0,4462817,,"652,230"
20,Afghanistan,1890,0,,0,4482635,,"652,230"
21,Afghanistan,1891,0,,0,4502532,,"652,230"
22,Afghanistan,1892,0,,0,4522510,,"652,230"
23,Afghanistan,1893,0,,0,4542568,,"652,230"
24,Afghanistan,1894,0,,0,4562708,,"652,230"
25,Afghanistan,1895,0,,0,4582928,,"652,230"
26,Afghanistan,1896,0,,0,4603230,,"652,230"
27,Afghanistan,1897,0,,0,4623613,,"652,230"
28,Afghanistan,1898,0,,0,4644079,,"652,230"
29,Afghanistan,1899,0,,0,4672084,,"652,230"
30,Afghanistan,1900,0,,0,4707744,,"652,230"
31,Afghanistan,1901,0,,0,4751177,,"652,230"
32,Afghanistan,1902,0,,0,4802500,,"652,230"
33,Afghanistan,1903,0,,0,4861833,,"652,230"
34,Afghanistan,1904,0,,0,4921891,,"652,230"
35,Afghanistan,1905,0,,0,4982681,,"652,230"
36,Afghanistan,1906,0,,0,5044212,,"652,230"
37,Afghanistan,1907,0,,0,5106495,,"652,230"
38,Afghanistan,1908,0,,0,5169536,,"652,230"
39,Afghanistan,1909,0,,0,5300178,,"652,230"
40,Afghanistan,1910,0,,0,5504191,,"652,230"
41,Afghanistan,1911,0,,0,5787792,,"652,230"
42,Afghanistan,1912,0,,0,6157669,,"652,230"
43,Afghanistan,1913,0,,0,6621025,,"652,230"
44,Afghanistan,1914,0,,0,7119235,,"652,230"
45,Afghanistan,1915,0,,0,7654918,,"652,230"
46,Afghanistan,1916,0,,0,8230894,,"652,230"
47,Afghanistan,1917,0,,0,8850190,,"652,230"
48,Afghanistan,1918,0,,0,9529174,,"652,230"
49,Afghanistan,1919,0,,0,9976355,,"652,230"
50,Afghanistan,1920,0,,0,10188845,,"652,230"
51,Afghanistan,1921,0,,0,10162753,,"652,230"
52,Afghanistan,1922,0,,0,9893152,,"652,230"
53,Afghanistan,1923,0,,0,9374030,,"652,230"
54,Afghanistan,1924,0,,0,8882148,,"652,230"
55,Afghanistan,1925,0,,0,8416077,,"652,230"
56,Afghanistan,1926,0,,0,7974462,,"652,230"
57,Afghanistan,1927,0,,0,7556019,,"652,230"
58,Afghanistan,1928,0,,0,7159534,,"652,230"
59,Afghanistan,1929,0,,0,6851115,,"652,230"
60,Afghanistan,1930,0,,0,6626142,,"652,230"
61,Afghanistan,1931,0,,0,6480237,,"652,230"
62,Afghanistan,1932,0,,0,6409250,,"652,230"
63,Afghanistan,1933,0,,0,6409250,,"652,230"
64,Afghanistan,1934,0,,0,6409250,,"652,230"
65,Afghanistan,1935,0,,0,6409250,,"652,230"
66,Afghanistan,1936,0,,0,6409250,,"652,230"
67,Afghanistan,1937,0,,0,6409250,,"652,230"
68,Afghanistan,1938,0,,0,6409250,,"652,230"
69,Afghanistan,1939,0,,0,6428903,,"652,230"
70,Afghanistan,1940,0,,0,6468510,,"652,230"
71,Afghanistan,1941,0,,0,6528377,,"652,230"
72,Afghanistan,1942,0,,0,6608815,,"652,230"
73,Afghanistan,1943,0,,0,6710138,,"652,230"
74,Afghanistan,1944,0,,0,6813016,,"652,230"
75,Afghanistan,1945,0,,0,6917471,,"652,230"
76,Afghanistan,1946,0,,0,7023527,,"652,230"
77,Afghanistan,1947,0,,0,7131209,,"652,230"
78,Afghanistan,1948,0,,0,7240542,,"652,230"
79,Afghanistan,1949,14656,6.52E-06,0.001992146,7356890,,"652,230"
80,Afghanistan,1950,84272,4.29E-05,0.011265611,7480464,,"652,230"
81,Afghanistan,1951,91600,8.03E-05,0.012097932,7571542,,"652,230"
82,Afghanistan,1952,91600,0.000115807,0.011946475,7667534,,"652,230"
83,Afghanistan,1953,106256,0.000155186,0.013684761,7764549,,"652,230"
84,Afghanistan,1954,106256,0.000192423,0.013511202,7864289,,"652,230"
85,Afghanistan,1955,153888,0.000245188,0.019303725,7971933,,"652,230"
86,Afghanistan,1956,183200,0.000305301,0.022651597,8087730,,"652,230"
87,Afghanistan,1957,293120,0.000400852,0.035701901,8210207,,"652,230"
88,Afghanistan,1958,329760,0.00050327,0.039568856,8333827,,"652,230"
89,Afghanistan,1959,384571,0.00061741,0.04541344,8468220,,"652,230"
90,Afghanistan,1960,413885,0.000733246,0.04800073,8622473,0.537777811,"652,230"
91,Afghanistan,1961,490798,0.000866428,0.055835061,8790140,0.548888896,"652,230"
92,Afghanistan,1962,688594,0.001051503,0.07677442,8969055,0.546666678,"652,230"
93,Afghanistan,1963,706736,0.001229344,0.07717596,9157463,0.751111191,"652,230"
94,Afghanistan,1964,838551,0.001432349,0.089631778,9355510,0.800000044,"652,230"
95,Afghanistan,1965,1006917,0.001667813,0.105269293,9565154,1.006666638,"652,230"
96,Afghanistan,1966,1091159,0.001908801,0.111534492,9783153,1.399999967,"652,230"
97,Afghanistan,1967,1281865,0.002182558,0.128057968,10010037,1.673333418,"652,230"
98,Afghanistan,1968,1223391,0.002420472,0.119381052,10247782,1.373333367,"652,230"
99,Afghanistan,1969,941232,0.002568948,0.089688199,10494491,1.408888922,"652,230"
100,Afghanistan,1970,1670397,0.002872291,0.155342806,10752973,1.748886596,"652,230"
101,Afghanistan,1971,1893554,0.003201445,0.171893543,11015853,1.831108971,"652,230"
102,Afghanistan,1972,1530347,0.00342304,0.135587888,11286753,1.595555476,"652,230"
103,Afghanistan,1973,1635454,0.003645029,0.141288163,11575308,1.733333264,"652,230"
104,Afghanistan,1974,1913152,0.003908769,0.161177016,11869881,2.155555498,"652,230"
105,Afghanistan,1975,2121383,0.004195534,0.174493292,12157390,2.366666616,"652,230"
106,Afghanistan,1976,1980859,0.004428956,0.15942173,12425276,2.555555567,"652,230"
107,Afghanistan,1977,2384175,0.004716733,0.187918115,12687308,2.953333418,"652,230"
108,Afghanistan,1978,2153300,0.004939524,0.166421102,12938864,3.300000109,"652,230"
109,Afghanistan,1979,2232754,0.005156595,0.171930464,12986378,3.69794041,"652,230"
110,Afghanistan,1980,1756302,0.005281459,0.140654492,12486640,3.641723322,"652,230"
111,Afghanistan,1981,1978463,0.005438315,0.177357977,11155196,3.478787909,"652,230"
112,Afghanistan,1982,2094580.9,0.00560532,0.207624969,10088290,,"652,230"
113,Afghanistan,1983,2519954,0.005826267,0.253224883,9951447,,"652,230"
114,Afghanistan,1984,2821540,0.006073452,0.275441787,10243689,,"652,230"
115,Afghanistan,1985,3501422,0.006398033,0.333081119,10512220,,"652,230"
116,Afghanistan,1986,3133645,0.006650345,0.299914906,10448447,,"652,230"
117,Afghanistan,1987,3113826,0.006879992,0.301646448,10322767,,"652,230"
118,Afghanistan,1988,2856896,0.00705541,0.275139142,10383459,,"652,230"
119,Afghanistan,1989,2764855,0.007206461,0.25904717,10673172,,"652,230"
120,Afghanistan,1990,2024326.1,0.007254075,0.189281272,10694804,,"652,230"
121,Afghanistan,1991,1914301,0.007281654,0.17815459,10745168,,"652,230"
122,Afghanistan,1992,1482054,0.00726277,0.122916182,12057436,,"652,230"
123,Afghanistan,1993,1486943,0.007243505,0.106181667,14003764,,"652,230"
124,Afghanistan,1994,1453829,0.007219637,0.094065113,15455560,,"652,230"
125,Afghanistan,1995,1417327,0.007189188,0.086322838,16418911,,"652,230"
126,Afghanistan,1996,1370104,0.007149781,0.080092128,17106600,,"652,230"
127,Afghanistan,1997,1304152,0.007104487,0.073313022,17788818,,"652,230"
128,Afghanistan,1998,1278504,0.007059298,0.069133982,18493134,,"652,230"
129,Afghanistan,1999,1091640,0.006994505,0.05667073,19262854,,"652,230"
130,Afghanistan,2000,1047127.94,0.006924111,0.053580755,19542986,,"652,230"
131,Afghanistan,2001,1069098,0.006858005,0.054300263,19688634,,"652,230"
132,Afghanistan,2002,1340995,0.006816201,0.06385612,21000258,3.825701406,"652,230"
133,Afghanistan,2003,1559602,0.006787337,0.06887139,22645136,4.520946849,"652,230"
134,Afghanistan,2004,1237247,0.006726247,0.0525291,23553554,5.224896719,"652,230"
135,Afghanistan,2005,1889507,0.006717722,0.077403295,24411196,6.203256497,"652,230"
136,Afghanistan,2006,2159318,0.006726228,0.084869024,25442946,6.971758333,"652,230"
137,Afghanistan,2007,2799909,0.006780886,0.108090797,25903306,9.747886105,"652,230"
138,Afghanistan,2008,4254477,0.006943743,0.16098854,26427204,10.10929696,"652,230"
139,Afghanistan,2009,6391888,0.0072648,0.23340572,27385310,12.41615265,"652,230"
140,Afghanistan,2010,8364803.5,0.007707457,0.296732913,28189672,15.8566685,"652,230"
141,Afghanistan,2011,11838316,0.00837418,0.404740431,29249156,17.80509837,"652,230"
142,Afghanistan,2012,10035314,0.008877547,0.329388649,30466484,19.90732991,"652,230"
143,Afghanistan,2013,9250510,0.009300484,0.293283239,31541216,20.14641688,"652,230"
144,Afghanistan,2014,9170309,0.009696386,0.280298601,32716214,20.4971286,"652,230"
145,Afghanistan,2015,9791093,0.010114695,0.290076377,33753500,19.13422175,"652,230"
146,Afghanistan,2016,9067598,0.010467378,0.261795314,34636212,18.1165724,"652,230"
147,Afghanistan,2017,9867969,0.010850821,0.276852474,35643420,18.75345651,"652,230"
148,Afghanistan,2018,10818048,0.011270558,0.294875856,36686788,18.05322274,"652,230"
149,Afghanistan,2019,11081621,0.011685668,0.293401347,37769496,18.79944442,"652,230"
150,Afghanistan,2020,11888066,0.012144622,0.305039362,38972236,19.95592906,"652,230"
151,Afghanistan,2021,12283148,0.012594692,0.306317043,40099460,14.26649943,"652,230"
152,Afghanistan,2022,12147948,0.013015988,,,,"652,230"
153,Albania,1870,0,,0,604928,,"28,748"
154,Albania,1871,0,,0,610685,,"28,748"
155,Albania,1872,0,,0,616487,,"28,748"
156,Albania,1873,0,,0,622333,,"28,748"
157,Albania,1874,0,,0,628235,,"28,748"
158,Albania,1875,0,,0,634193,,"28,748"
159,Albania,1876,0,,0,640208,,"28,748"
160,Albania,1877,0,,0,646279,,"28,748"
161,Albania,1878,0,,0,652408,,"28,748"
162,Albania,1879,0,,0,658596,,"28,748"
163,Albania,1880,0,,0,664842,,"28,748"
164,Albania,1881,0,,0,671147,,"28,748"
165,Albania,1882,0,,0,677511,,"28,748"
166,Albania,1883,0,,0,683937,,"28,748"
167,Albania,1884,0,,0,690423,,"28,748"
168,Albania,1885,0,,0,696970,,"28,748"
169,Albania,1886,0,,0,703580,,"28,748"
170,Albania,1887,0,,0,710252,,"28,748"
171,Albania,1888,0,,0,716988,,"28,748"
172,Albania,1889,0,,0,723850,,"28,748"
173,Albania,1890,0,,0,730840,,"28,748"
174,Albania,1891,0,,0,737961,,"28,748"
175,Albania,1892,0,,0,745214,,"28,748"
176,Albania,1893,0,,0,752600,,"28,748"
177,Albania,1894,0,,0,760060,,"28,748"
178,Albania,1895,0,,0,767593,,"28,748"
179,Albania,1896,0,,0,775202,,"28,748"
180,Albania,1897,0,,0,782885,,"28,748"
181,Albania,1898,0,,0,790645,,"28,748"
182,Albania,1899,0,,0,798342,,"28,748"
183,Albania,1900,0,,0,805974,,"28,748"
184,Albania,1901,0,,0,813539,,"28,748"
185,Albania,1902,0,,0,821036,,"28,748"
186,Albania,1903,0,,0,828461,,"28,748"
187,Albania,1904,0,,0,835954,,"28,748"
188,Albania,1905,0,,0,843514,,"28,748"
189,Albania,1906,0,,0,851143,,"28,748"
190,Albania,1907,0,,0,858841,,"28,748"
191,Albania,1908,0,,0,866609,,"28,748"
192,Albania,1909,0,,0,874016,,"28,748"
193,Albania,1910,0,,0,881057,,"28,748"
194,Albania,1911,0,,0,887724,,"28,748"
